Geneid	Chr	Start	End	Strand	Length	NF54-24h_S6_L001.bam	NF54-24h_S8_L001.bam	PB58-24h-14_S2.bam	PB58-24h_S3_L001.bam
PF3D7_0621350	Pf3D7_06_v3	876679	877298	-	620	8	6	4	17
PF3D7_1314600	Pf3D7_13_v3	624785	626011	+	1227	44	36	19	40
PF3D7_0209400	Pf3D7_02_v3	388424	390611	-	2188	109	51	77	50
PF3D7_1142200	Pf3D7_11_v3	1692897	1694137	-	1241	5	6	12	7
PF3D7_0507200	Pf3D7_05_v3	298427	300736	-	2310	27	15	27	15
PF3D7_0806000	Pf3D7_08_v3	326215	330004	-	3790	171	170	177	238
PF3D7_1006800	Pf3D7_10_v3	277621	279168	+	1548	2338	1137	1574	1150
PF3D7_0412000	Pf3D7_04_v3	536774	539110	+	2337	185	29	63	81
PF3D7_0732200	Pf3D7_07_v3	1390711	1392043	+	1333	4	5	1	1
PF3D7_0324800	Pf3D7_03_v3	1027571	1028929	+	1359	22	20	1	4
PF3D7_1227500	Pf3D7_12_v3	1114025	1121093	-	7069	122	7	61	22
PF3D7_0301800	Pf3D7_03_v3	104325	105281	+	957	20	31	60	44
PF3D7_0920900	Pf3D7_09_v3	855516	857286	+	1771	151	178	214	233
PF3D7_1443600	Pf3D7_14_v3	1784933	1790629	-	5697	27	2	14	16
PF3D7_0415900	Pf3D7_04_v3	697918	698768	-	851	3885	2028	2794	2148
PF3D7_0214100	Pf3D7_02_v3	568529	573315	-	4787	1102	880	934	873
PF3D7_0726100	Pf3D7_07_v3	1093566	1096122	-	2557	173	242	428	215
PF3D7_0717700	Pf3D7_07_v3	764794	766413	-	1620	1317	1076	1338	1269
PF3D7_1342200	Pf3D7_13_v3	1660812	1663730	-	2919	22	18	17	27
PF3D7_1400700	Pf3D7_14_v3	24337	25320	-	984	6	1	0	0
PF3D7_1322800	Pf3D7_13_v3	960166	960646	+	481	10	0	7	5
PF3D7_1477400	Pf3D7_14_v3	3183248	3184352	+	1105	206	171	112	430
PF3D7_1106700	Pf3D7_11_v3	279920	282994	-	3075	170	114	101	133
PF3D7_0621100	Pf3D7_06_v3	865845	869909	-	4065	47	7	67	56
PF3D7_1040800	Pf3D7_10_v3	1625772	1626824	+	1053	0	0	0	0
PF3D7_0909100	Pf3D7_09_v3	415205	417433	+	2229	7	2	4	9
PF3D7_1028500	Pf3D7_10_v3	1172129	1174997	-	2869	134	125	90	158
PF3D7_1342400	Pf3D7_13_v3	1666832	1668153	-	1322	743	387	496	473
PF3D7_1419100	Pf3D7_14_v3	793752	796877	+	3126	177	234	165	281
PF3D7_1448500	Pf3D7_14_v3	1984189	1995574	-	11386	481	88	186	232
PF3D7_1125000	Pf3D7_11_v3	983951	985619	-	1669	35	3	30	20
PF3D7_1468000	Pf3D7_14_v3	2777632	2785114	+	7483	7	5	10	13
PF3D7_0500900	Pf3D7_05_v3	50422	52510	-	2089	53	11	46	22
PF3D7_1207600	Pf3D7_12_v3	349479	351284	-	1806	199	134	124	163
PF3D7_0311400	Pf3D7_03_v3	488804	496510	+	7707	18	4	20	17
PF3D7_0722200	Pf3D7_07_v3	946363	948612	+	2250	31	8	89	15
PF3D7_0515900	Pf3D7_05_v3	660150	661136	-	987	24	18	31	18
PF3D7_0319500	Pf3D7_03_v3	815569	816855	+	1287	285	221	293	231
PF3D7_API02500	Pf3D7_API_v3	7040	7150	+	111	0	0	0	0
PF3D7_1450000	Pf3D7_14_v3	2047793	2050083	+	2291	57	26	86	26
PF3D7_0300600	Pf3D7_03_v3	58307	58519	-	213	0	0	0	0
PF3D7_1222800	Pf3D7_12_v3	920790	922416	-	1627	8	1	6	3
PF3D7_1443900	Pf3D7_14_v3	1797288	1800071	+	2784	289	140	172	193
PF3D7_1470100	Pf3D7_14_v3	2870069	2877589	+	7521	136	116	98	202
PF3D7_0519700	Pf3D7_05_v3	817066	819139	+	2074	526	505	784	603
PF3D7_1469700	Pf3D7_14_v3	2863914	2864531	+	618	22	2	8	11
PF3D7_1455700	Pf3D7_14_v3	2278701	2282162	-	3462	51	4	38	9
PF3D7_1132100	Pf3D7_11_v3	1243226	1246618	-	3393	3	2	15	20
PF3D7_0532200	Pf3D7_05_v3	1303662	1304526	-	865	27	27	60	45
PF3D7_0508700	Pf3D7_05_v3	358261	362733	+	4473	308	144	213	177
PF3D7_1227400	Pf3D7_12_v3	1109151	1112669	-	3519	111	153	94	170
PF3D7_1126200	Pf3D7_11_v3	1023790	1024496	-	707	2533	1329	1772	1417
PF3D7_1242500	Pf3D7_12_v3	1798643	1799788	+	1146	54	4	18	21
PF3D7_0806700	Pf3D7_08_v3	354472	362396	+	7925	259	232	228	279
PF3D7_0303500	Pf3D7_03_v3	182731	189411	+	6681	80	13	49	54
PF3D7_0911100	Pf3D7_09_v3	504412	508130	+	3719	35	9	51	31
PF3D7_0422800	Pf3D7_04_v3	1042564	1044896	+	2333	19	1	8	8
PF3D7_0926300	Pf3D7_09_v3	1064752	1070317	+	5566	48	11	51	52
PF3D7_1215600	Pf3D7_12_v3	635035	635457	+	423	8	2	6	16
PF3D7_1436400	Pf3D7_14_v3	1484166	1488129	+	3964	6	17	11	29
PF3D7_0808700	Pf3D7_08_v3	440408	448062	+	7655	13	1	5	9
PF3D7_1444700	Pf3D7_14_v3	1841960	1842906	+	947	60	8	27	25
PF3D7_1209600	Pf3D7_12_v3	443680	444987	+	1308	7	0	6	5
PF3D7_0523800	Pf3D7_05_v3	990005	992059	+	2055	35	33	66	32
PF3D7_1459700	Pf3D7_14_v3	2444473	2446179	-	1707	127	10	22	24
PF3D7_1409000	Pf3D7_14_v3	353263	355141	-	1879	72	64	82	102
PF3D7_1028900	Pf3D7_10_v3	1184728	1185946	-	1219	4	0	9	1
PF3D7_1447100	Pf3D7_14_v3	1932421	1933200	-	780	152	111	147	114
PF3D7_1026000	Pf3D7_10_v3	1098455	1099882	-	1428	314	323	310	264
PF3D7_1366000	Pf3D7_13_v3	2635213	2635488	+	276	40	27	32	49
malmito_rna_RNA14	Pf_M76611	5508	5546	-	39	0	0	0	0
PF3D7_0919800	Pf3D7_09_v3	804417	807920	-	3504	65	44	80	81
PF3D7_0205000	Pf3D7_02_v3	212982	214508	-	1527	8	3	11	19
PF3D7_1354200	Pf3D7_13_v3	2160318	2162729	-	2412	73	81	68	95
PF3D7_0610800	Pf3D7_06_v3	453671	455689	+	2019	2671	1305	1822	1624
PF3D7_1353200	Pf3D7_13_v3	2130531	2131065	+	535	972	996	1692	745
PF3D7_0700300	Pf3D7_07_v3	33585	34804	-	1220	0	0	0	0
PF3D7_0914300	Pf3D7_09_v3	612976	615492	-	2517	129	99	119	146
PF3D7_1005200	Pf3D7_10_v3	232422	232818	-	397	2	0	1	2
PF3D7_0605000	Pf3D7_06_v3	213558	214142	+	585	65	8	35	28
PF3D7_0410900	Pf3D7_04_v3	490442	493375	-	2934	76	87	91	106
PF3D7_1113700	Pf3D7_11_v3	529493	530563	+	1071	133	119	142	124
PF3D7_1108800	Pf3D7_11_v3	377740	378396	+	657	0	2	2	4
PF3D7_1129400	Pf3D7_11_v3	1138075	1139979	-	1905	725	401	513	561
PF3D7_1215000	Pf3D7_12_v3	621125	621775	+	651	19	2	24	12
PF3D7_0607000	Pf3D7_06_v3	293864	296797	+	2934	3037	2328	2807	3035
PF3D7_0519600	Pf3D7_05_v3	812648	814915	+	2268	247	184	190	305
PF3D7_1460600	Pf3D7_14_v3	2473758	2474204	+	447	3	0	1	2
PF3D7_1321700	Pf3D7_13_v3	902383	905166	+	2784	1045	738	675	899
PF3D7_0820000	Pf3D7_08_v3	900742	907714	-	6973	752	751	659	918
PF3D7_0623900	Pf3D7_06_v3	977183	978049	+	867	100	14	49	27
PF3D7_0311900	Pf3D7_03_v3	509291	511597	-	2307	30	13	20	36
PF3D7_1372900	Pf3D7_13_v3	2865893	2867226	+	1334	0	0	0	0
PF3D7_0905600	Pf3D7_09_v3	280207	284102	+	3896	1	2	3	2
PF3D7_1437700	Pf3D7_14_v3	1525564	1528485	-	2922	33	7	17	32
PF3D7_1307100	Pf3D7_13_v3	327893	330928	+	3036	166	239	152	267
PF3D7_0532400	Pf3D7_05_v3	1312471	1314154	+	1684	1744	1747	511	446
PF3D7_0527500	Pf3D7_05_v3	1143618	1145359	+	1742	3434	1168	1492	1165
PF3D7_1110300	Pf3D7_11_v3	410202	411355	-	1154	220	153	120	197
PF3D7_0620600	Pf3D7_06_v3	857726	858610	+	885	8	9	4	14
PF3D7_1214700	Pf3D7_12_v3	615636	616100	+	465	9	18	15	15
PF3D7_1413400	Pf3D7_14_v3	534057	535988	-	1932	46	5	30	30
PF3D7_1327000	Pf3D7_13_v3	1134070	1138040	-	3971	101	112	72	183
PF3D7_0716300	Pf3D7_07_v3	717281	718968	+	1688	965	300	375	590
PF3D7_1426600	Pf3D7_14_v3	1031065	1035360	-	4296	7	5	12	8
PF3D7_0210400	Pf3D7_02_v3	425689	426497	+	809	90	21	39	37
PF3D7_0920800	Pf3D7_09_v3	852525	854057	-	1533	1180	648	1012	729
PF3D7_1250000	Pf3D7_12_v3	2044120	2044626	+	507	206	110	163	118
PF3D7_1009200	Pf3D7_10_v3	374864	377611	+	2748	116	85	70	82
PF3D7_1418500	Pf3D7_14_v3	779377	779495	+	119	0	0	0	0
PF3D7_0921900	Pf3D7_09_v3	888559	889305	+	747	472	294	420	356
PF3D7_1463300	Pf3D7_14_v3	2572988	2574607	+	1620	50	5	16	14
PF3D7_0318400	Pf3D7_03_v3	761693	765439	-	3747	12	8	56	21
PF3D7_1321100	Pf3D7_13_v3	861442	872332	-	10891	14	7	37	15
PF3D7_1252900	Pf3D7_12_v3	2162707	2163145	-	439	3	8	11	5
PF3D7_1361300	Pf3D7_13_v3	2462069	2463784	+	1716	5	1	6	3
PF3D7_1244800	Pf3D7_12_v3	1873194	1875287	-	2094	648	350	499	389
PF3D7_1020100	Pf3D7_10_v3	814352	814957	-	606	4	0	5	0
PF3D7_0525000	Pf3D7_05_v3	1036229	1038343	+	2115	287	204	272	118
PF3D7_0622600	Pf3D7_06_v3	914743	915429	+	687	38	0	19	15
PF3D7_0732500	Pf3D7_07_v3	1402623	1403978	-	1356	4	6	0	4
PF3D7_0207000	Pf3D7_02_v3	277494	278456	-	963	118	13	53	16
PF3D7_1335300	Pf3D7_13_v3	1428874	1438852	-	9979	10	0	23	7
PF3D7_0412300	Pf3D7_04_v3	543625	545247	+	1623	2	3	5	6
PF3D7_1433400	Pf3D7_14_v3	1312304	1329577	-	17274	1302	778	559	1015
PF3D7_1006900	Pf3D7_10_v3	281459	283104	+	1646	138	75	61	65
PF3D7_1473600	Pf3D7_14_v3	2997600	2997944	-	345	72	8	16	27
PF3D7_1014800	Pf3D7_10_v3	596497	600413	-	3917	6	0	4	0
PF3D7_1471900	Pf3D7_14_v3	2933162	2939779	-	6618	123	124	122	160
PF3D7_1026600	Pf3D7_10_v3	1113495	1118573	-	5079	94	51	188	208
PF3D7_0107600	Pf3D7_01_v3	314618	319405	+	4788	1	1	7	6
PF3D7_0922100	Pf3D7_09_v3	895415	900304	+	4890	1326	1132	1406	1488
PF3D7_1471000	Pf3D7_14_v3	2902134	2903537	+	1404	126	141	126	150
PF3D7_1429200	Pf3D7_14_v3	1144518	1148078	-	3561	27	8	9	25
PF3D7_0800100	Pf3D7_08_v3	21361	28653	+	7293	59	13	45	17
PF3D7_1416400	Pf3D7_14_v3	661098	665098	-	4001	16	3	26	21
PF3D7_0516200	Pf3D7_05_v3	675809	676614	-	806	1720	773	732	710
PF3D7_1029600	Pf3D7_10_v3	1206302	1207405	+	1104	3146	856	1639	754
